cik,ticker,sic,sic_description
103379,VFC,2320,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments"
58492,LEG,2510,Household Furniture
1941365,MBC,2511,"Wood Household Furniture, (No Upholstered)"
51434,IP,2621,Paper Mills
75677,PKG,2650,Paperboard Containers & Boxes
2005951,SW,2650,Paperboard Containers & Boxes
8818,AVY,2670,Converted Paper & Paperboard Prods (No Contaners/Boxes)
55785,KMB,2670,Converted Paper & Paperboard Prods (No Contaners/Boxes)
1564708,NWS,2711,Newspapers: Publishing or  Publishing & Printing
1564708,NWSA,2711,Newspapers: Publishing or  Publishing & Printing
71691,NYT,2711,Newspapers: Publishing or  Publishing & Printing
37785,FMC,2800,Chemicals & Allied Products
2064953,SOLS,2800,Chemicals & Allied Products
2969,APD,2810,Industrial Inorganic Chemicals
1707925,LIN,2810,Industrial Inorganic Chemicals
1306830,CE,2820,"Plastic Material, Synth Resin/Rubber, Cellulos (No Glass)"
915913,ALB,2821,"Plastic Materials, Synth Resins & Nonvulcan Elastomers"
1666700,DD,2821,"Plastic Materials, Synth Resins & Nonvulcan Elastomers"
1751788,DOW,2821,"Plastic Materials, Synth Resins & Nonvulcan Elastomers"
915389,EMN,2821,"Plastic Materials, Synth Resins & Nonvulcan Elastomers"
1551152,ABBV,2834,Pharmaceutical Preparations
1800,ABT,2834,Pharmaceutical Preparations
1771910,ADCT,2834,Pharmaceutical Preparations
14272,BMY,2834,Pharmaceutical Preparations
1818794,DYN,2834,Pharmaceutical Preparations
200406,JNJ,2834,Pharmaceutical Preparations
59478,LLY,2834,Pharmaceutical Preparations
310158,MRK,2834,Pharmaceutical Preparations
906709,NKTR,2834,Pharmaceutical Preparations
1821825,OGN,2834,Pharmaceutical Preparations
78003,PFE,2834,Pharmaceutical Preparations
1585364,PRGO,2834,Pharmaceutical Preparations
872589,REGN,2834,Pharmaceutical Preparations
875320,VRTX,2834,Pharmaceutical Preparations
1792044,VTRS,2834,Pharmaceutical Preparations
1555280,ZTS,2834,Pharmaceutical Preparations
